34875.000000d0,  5.506273d5,  442.487471d0,  6.515134d0,  442.487471d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
35000.000000d0,  5.506273d5,  442.487471d0,  6.515134d0,  442.487471d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
35125.000000d0,  5.432709d5,  441.366414d0,  6.444419d0,  442.626647d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
35250.000000d0,  5.359145d5,  440.245357d0,  6.373344d0,  442.780223d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
35375.000000d0,  5.290366d5,  439.118127d0,  6.307700d0,  442.857490d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
35500.000000d0,  5.222628d5,  437.989554d0,  6.242981d0,  442.927646d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
35625.000000d0,  5.154891d5,  436.860981d0,  6.177928d0,  443.010672d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
35750.000000d0,  5.087153d5,  435.732409d0,  6.112538d0,  443.106977d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
35875.000000d0,  5.019415d5,  434.603836d0,  6.046808d0,  443.216990d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
36000.000000d0,  4.951677d5,  433.475263d0,  5.980736d0,  443.341157d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
36125.000000d0,  4.883939d5,  432.346690d0,  5.914319d0,  443.479948d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
36250.000000d0,  4.816667d5,  431.217521d0,  5.848127d0,  443.624153d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
36375.000000d0,  4.754364d5,  430.081986d0,  5.787724d0,  443.678760d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
36500.000000d0,  4.692062d5,  428.946452d0,  5.727001d0,  443.746435d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
36625.000000d0,  4.629760d5,  427.810917d0,  5.665956d0,  443.827600d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
36750.000000d0,  4.567457d5,  426.675382d0,  5.604586d0,  443.922694d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
36875.000000d0,  4.505155d5,  425.539847d0,  5.542888d0,  444.032180d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
37000.000000d0,  4.442853d5,  424.404312d0,  5.480860d0,  444.156538d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
37125.000000d0,  4.380550d5,  423.268778d0,  5.418500d0,  444.296272d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
37250.000000d0,  4.320183d5,  422.130495d0,  5.358239d0,  444.406809d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
37375.000000d0,  4.262957d5,  420.987753d0,  5.301614d0,  444.458387d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
37500.000000d0,  4.205730d5,  419.845011d0,  5.244680d0,  444.523678d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
